Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
192500,862500,6.44
437500,462500,12.96
237500,892500,7.54
262500,332500,8.47
287500,632500,17.47
467500,352500,12.63
282500,262500,18.29
277500,337500,17.95
377500,207500,12.12
437500,112500,16.52
357500,462500,16.33
357500,702500,5.61
62500,547500,11.9
172500,737500,16.44
372500,562500,17.14
152500,937500,3.25
212500,947500,17.27
217500,807500,8.47
422500,437500,19.56
92500,567500,17.67
62500,797500,5.23
92500,917500,5.26
372500,407500,15.66
327500,252500,12.22
52500,497500,14.9
447500,442500,12.52
602500,167500,7.74
422500,492500,13.35
507500,462500,12.48
527500,277500,8.26
347500,662500,11.03
412500,167500,13.26
182500,762500,11.42
302500,667500,10.94
337500,527500,26.49
462500,137500,15.62
327500,802500,10.38
592500,262500,12.51
427500,607500,8.99
362500,237500,13.04
307500,227500,20.7
197500,37500,8.29
492500,337500,12.31
137500,517500,12.41
267500,57500,12.85
332500,1027500,9.28
247500,817500,4.85
587500,217500,10.43
357500,257500,11.88
517500,242500,9.72
497500,347500,12.86
332500,767500,17.68
262500,322500,8.01
242500,912500,7.03
462500,392500,12.67
227500,692500,17.33
217500,837500,7.63
402500,77500,9.87
252500,362500,10.74
292500,887500,3.31
242500,67500,11.19
302500,132500,14.19
352500,412500,15.62
22500,552500,12.47
147500,567500,14.49
342500,1042500,8.11
207500,687500,17.92
267500,97500,16.61
122500,537500,5.92
137500,827500,7.9
272500,352500,21.88
542500,102500,9.87
167500,497500,7.6
297500,192500,20.42
132500,562500,10.63
162500,617500,11.86
197500,682500,13.55
252500,577500,24.85
607500,122500,8.44
302500,297500,15.46
437500,282500,13.13
317500,272500,15.15
207500,572500,15.94
272500,357500,23.36
572500,332500,8.9
282500,712500,10.83
372500,452500,20.94
432500,1112500,10.21
362500,217500,21.96
487500,472500,17.11
257500,847500,3.54
447500,192500,11.99
467500,337500,11.31
382500,647500,6.45
237500,877500,5.64
167500,732500,17.81
397500,282500,15.63
142500,672500,9.27
222500,212500,12.43
112500,527500,4.65
287500,177500,7.99
297500,732500,12.38
407500,582500,9.89
277500,937500,6.74
197500,747500,7.92
482500,112500,14.01
302500,282500,16.61
247500,652500,14.16
322500,227500,21.58
512500,207500,14.54
397500,187500,12.51
407500,217500,16.39
342500,567500,10.86
372500,292500,13.29
332500,187500,13
147500,682500,8.54
437500,377500,21.87
572500,267500,12.7
257500,882500,6.37
242500,372500,8.15
432500,97500,11.96
447500,227500,12.49
622500,167500,7.4
277500,367500,21.36
102500,917500,5.85
547500,257500,10.62
517500,332500,8.04
142500,472500,6.81
462500,232500,12.61
497500,452500,13.51
617500,257500,12.06
427500,597500,8.05
112500,912500,7.05
272500,62500,16.16
542500,232500,11.15
462500,442500,11.1
602500,242500,7.99
477500,147500,13.59
177500,627500,13.11
312500,577500,14.38
312500,197500,22.23
222500,672500,12.24
307500,167500,7.83
587500,247500,9.38
542500,207500,11.47
347500,267500,13.05
502500,472500,17.07
382500,337500,16.93
512500,122500,11.93
417500,477500,26.75
362500,1022500,7.5
332500,502500,29.6
622500,262500,11.55
412500,322500,14.61
497500,297500,14.69
362500,737500,7.09
547500,97500,10.85
367500,697500,10.12
272500,132500,10.47
417500,597500,8.7
247500,882500,6.03
237500,602500,18.71
12500,527500,6.87
477500,292500,14.39
277500,322500,15.49
387500,92500,16.25
227500,967500,5.68
362500,667500,16.14
317500,222500,21.45
392500,647500,6.81
52500,577500,4.58
242500,352500,7.3
442500,487500,11.34
327500,627500,22.51
242500,807500,7.2
197500,632500,12.48
372500,177500,10.8
262500,882500,5.9
287500,62500,12.1
412500,297500,17.65
477500,437500,13.93
162500,812500,5.31
372500,752500,7.72
407500,182500,12.1
252500,382500,10.27
557500,292500,7.77
437500,302500,12.24
267500,272500,11.76
342500,277500,14.8
122500,907500,6.94
307500,112500,11.16
372500,387500,14.15
497500,302500,10.52
322500,1027500,10.3
542500,227500,11.04
247500,592500,29.9
282500,272500,14.34
372500,522500,14.91
